id	common	scientific	dir
42	Bufflehead	Bucephala albeola	bufflehead
43	Common Goldeneye	Bucephala clangula	common_goldeneye
44	Barrow's Goldeneye	Bucephala islandica	barrows_goldeneye
45	Muscovy Duck	Cairina moschata	muscovy_duck
46	Long-tailed Duck	Clangula hyemalis	long_tailed_duck
47	Harlequin Duck	Histrionicus histrionicus	harlequin_duck
48	Hooded Merganser	Lophodytes cucullatus	hooded_merganser
49	Black Scoter	Melanitta americana	black_scoter
50	White-winged Scoter	Melanitta fusca	white_winged_scoter
51	Surf Scoter	Melanitta perspicillata	surf_scoter
52	Common Merganser	Mergus merganser	common_merganser
53	Red-breasted Merganser	Mergus serrator	red_breasted_merganser
54	Ruddy Duck	Oxyura jamaicensis	ruddy_duck
55	Common Eider	Somateria mollissima	common_eider
56	Greater White-fronted Goose	Anser albifrons	greater_white_fronted_goose
57	Brant	Branta bernicla	brant
58	Canada Goose	Branta canadensis	canada_goose
59	Cackling Goose	Branta hutchinsii	cackling_goose
60	Snow Goose	Chen caerulescens	snow_goose
61	Ross's Goose	Chen rossii	rosss_goose
62	Trumpeter Swan	Cygnus buccinator	trumpeter_swan
63	Tundra Swan	Cygnus columbianus	tundra_swan
64	Mute Swan	Cygnus olor	mute_swan
65	Fulvous Whistling-Duck	Dendrocygna bicolor	fulvous_whistling_duck
66	Anhinga	Anhinga anhinga	anhinga
67	White-throated Swift	Aeronautes saxatalis	white_throated_swift
68	Chimney Swift	Chaetura pelagica	chimney_swift
69	Limpkin	Aramus guarauna	limpkin
70	Great Egret	Ardea alba	great_egret
71	Great Blue Heron	Ardea herodias	great_blue_heron
72	American Bittern	Botaurus lentiginosus	american_bittern
73	Cattle Egret	Bubulcus ibis	cattle_egret
74	Little Blue Heron	Egretta caerulea	little_blue_heron
75	Reddish Egret	Egretta rufescens	reddish_egret
76	Snowy Egret	Egretta thula	snowy_egret
77	Tricolored Heron	Egretta tricolor	tricolored_heron
78	Least Bittern	Ixobrychus exilis	least_bittern
79	Yellow-crowned Night-Heron	Nyctanassa violacea	yellow_crowned_night_heron
80	Black-crowned Night-Heron	Nycticorax nycticorax	black_crowned_night_heron
81	Cedar Waxwing	Bombycilla cedrorum	cedar_waxwing
82	Bohemian Waxwing	Bombycilla garrulus	bohemian_waxwing
83	Lapland Longspur	Calcarius lapponicus	lapland_longspur
84	Chestnut-collared Longspur	Calcarius ornatus	chestnut_collared_longspur
85	Snow Bunting	Plectrophenax nivalis	snow_bunting
86	Lesser Nighthawk	Chordeiles acutipennis	lesser_nighthawk
87	Common Nighthawk	Chordeiles minor	common_nighthawk
88	Northern Cardinal	Cardinalis cardinalis	northern_cardinal
89	Pyrrhuloxia	Cardinalis sinuatus	pyrrhuloxia
90	Lazuli Bunting	Passerina amoena	lazuli_bunting
91	Blue Grosbeak	Passerina caerulea	blue_grosbeak
92	Painted Bunting	Passerina ciris	painted_bunting
93	Indigo Bunting	Passerina cyanea	indigo_bunting
94	Rose-breasted Grosbeak	Pheucticus ludovicianus	rose_breasted_grosbeak
95	Black-headed Grosbeak	Pheucticus melanocephalus	black_headed_grosbeak
96	Hepatic Tanager	Piranga flava	hepatic_tanager
97	Western Tanager	Piranga ludoviciana	western_tanager
98	Scarlet Tanager	Piranga olivacea	scarlet_tanager
99	Summer Tanager	Piranga rubra	summer_tanager
100	Dickcissel	Spiza americana	dickcissel
101	Turkey Vulture	Cathartes aura	turkey_vulture
102	Black Vulture	Coragyps atratus	black_vulture
103	Brown Creeper	Certhia americana	brown_creeper
104	Piping Plover	Charadrius melodus	piping_plover
105	Mountain Plover	Charadrius montanus	mountain_plover
106	Snowy Plover	Charadrius nivosus	snowy_plover
107	Semipalmated Plover	Charadrius semipalmatus	semipalmated_plover
108	Killdeer	Charadrius vociferus	killdeer
109	Wilson's Plover	Charadrius wilsonia	wilsons_plover
110	American Golden-Plover	Pluvialis dominica	american_golden_plover
111	Pacific Golden-Plover	Pluvialis fulva	pacific_golden_plover
112	Black-bellied Plover	Pluvialis squatarola	black_bellied_plover
113	Wood Stork	Mycteria americana	wood_stork
114	American Dipper	Cinclus mexicanus	american_dipper
115	Rock Pigeon	Columba livia	rock_pigeon
116	Inca Dove	Columbina inca	inca_dove
117	Common Ground-Dove	Columbina passerina	common_ground_dove
118	Band-tailed Pigeon	Patagioenas fasciata	band_tailed_pigeon
119	Eurasian Collared-Dove	Streptopelia decaocto	eurasian_collared_dove
120	White-winged Dove	Zenaida asiatica	white_winged_dove
121	Mourning Dove	Zenaida macroura	mourning_dove
122	Western Scrub-Jay	Aphelocoma californica	western_scrub_jay
123	Florida Scrub-Jay	Aphelocoma coerulescens	florida_scrub_jay
124	Mexican Jay	Aphelocoma wollweberi	mexican_jay
125	American Crow	Corvus brachyrhynchos	american_crow
126	Common Raven	Corvus corax	common_raven
127	Chihuahuan Raven	Corvus cryptoleucus	chihuahuan_raven
128	Fish Crow	Corvus ossifragus	fish_crow
129	Blue Jay	Cyanocitta cristata	blue_jay
130	Steller's Jay	Cyanocitta stelleri	stellers_jay
131	Green Jay	Cyanocorax yncas	green_jay
132	Clark's Nutcracker	Nucifraga columbiana	clarks_nutcracker
133	Gray Jay	Perisoreus canadensis	gray_jay
134	Black-billed Magpie	Pica hudsonia	black_billed_magpie
135	Yellow-billed Magpie	Pica nuttalli	yellow_billed_magpie
136	Groove-billed Ani	Crotophaga sulcirostris	groove_billed_ani
137	Yellow-billed Cuckoo	Coccyzus americanus	yellow_billed_cuckoo
138	Black-billed Cuckoo	Coccyzus erythropthalmus	black_billed_cuckoo
139	Greater Roadrunner	Geococcyx californianus	greater_roadrunner
140	Rufous-crowned Sparrow	Aimophila ruficeps	rufous_crowned_sparrow
141	Saltmarsh Sparrow	Ammodramus caudacutus	saltmarsh_sparrow
142	Henslow's Sparrow	Ammodramus henslowii	henslows_sparrow
143	Le Conte's Sparrow	Ammodramus leconteii	le_contes_sparrow
144	Seaside Sparrow	Ammodramus maritimus	seaside_sparrow
145	Nelson's Sparrow	Ammodramus nelsoni	nelsons_sparrow
146	Grasshopper Sparrow	Ammodramus savannarum	grasshopper_sparrow
147	Black-throated Sparrow	Amphispiza bilineata	black_throated_sparrow
148	Olive Sparrow	Arremonops rufivirgatus	olive_sparrow
149	Lark Bunting	Calamospiza melanocorys	lark_bunting
150	Lark Sparrow	Chondestes grammacus	lark_sparrow
151	Dark-eyed Junco	Junco hyemalis	dark_eyed_junco
152	Yellow-eyed Junco	Junco phaeonotus	yellow_eyed_junco
153	Swamp Sparrow	Melospiza georgiana	swamp_sparrow
154	Lincoln's Sparrow	Melospiza lincolnii	lincolns_sparrow
155	Song Sparrow	Melospiza melodia	song_sparrow
156	California Towhee	Melozone crissalis	california_towhee
157	Canyon Towhee	Melozone fusca	canyon_towhee
158	Fox Sparrow	Passerella iliaca	fox_sparrow
159	Cassin's Sparrow	Peucaea cassinii	cassins_sparrow
160	Green-tailed Towhee	Pipilo chlorurus	green_tailed_towhee
161	Eastern Towhee	Pipilo erythrophthalmus	eastern_towhee
162	Spotted Towhee	Pipilo maculatus	spotted_towhee
163	Vesper Sparrow	Pooecetes gramineus	vesper_sparrow
164	American Tree Sparrow	Spizella arborea	american_tree_sparrow
165	Black-chinned Sparrow	Spizella atrogularis	black_chinned_sparrow
166	Brewer's Sparrow	Spizella breweri	brewers_sparrow
167	Clay-colored Sparrow	Spizella pallida	clay_colored_sparrow
168	Chipping Sparrow	Spizella passerina	chipping_sparrow
169	Field Sparrow	Spizella pusilla	field_sparrow
170	White-throated Sparrow	Zonotrichia albicollis	white_throated_sparrow
171	Golden-crowned Sparrow	Zonotrichia atricapilla	golden_crowned_sparrow
172	White-crowned Sparrow	Zonotrichia leucophrys	white_crowned_sparrow
173	Harris's Sparrow	Zonotrichia querula	harriss_sparrow
174	Crested Caracara	Caracara cheriway	crested_caracara
175	Merlin	Falco columbarius	merlin
176	Prairie Falcon	Falco mexicanus	prairie_falcon
177	Peregrine Falcon	Falco peregrinus	peregrine_falcon
178	American Kestrel	Falco sparverius	american_kestrel
179	Magnificent Frigatebird	Fregata magnificens	magnificent_frigatebird
180	Common Redpoll	Acanthis flammea	common_redpoll
181	Hoary Redpoll	Acanthis hornemanni	hoary_redpoll
182	Evening Grosbeak	Coccothraustes vespertinus	evening_grosbeak
183	Cassin's Finch	Haemorhous cassinii	cassins_finch
184	House Finch	Haemorhous mexicanus	house_finch
185	Purple Finch	Haemorhous purpureus	purple_finch
186	Black Rosy-Finch	Leucosticte atrata	black_rosy_finch
187	Brown-capped Rosy-Finch	Leucosticte australis	brown_capped_rosy_finch
188	Gray-crowned Rosy-Finch	Leucosticte tephrocotis	gray_crowned_rosy_finch
189	Red Crossbill	Loxia curvirostra	red_crossbill
190	White-winged Crossbill	Loxia leucoptera	white_winged_crossbill
191	Pine Grosbeak	Pinicola enucleator	pine_grosbeak
192	Pine Siskin	Spinus pinus	pine_siskin
193	Lesser Goldfinch	Spinus psaltria	lesser_goldfinch
194	American Goldfinch	Spinus tristis	american_goldfinch
195	Common Loon	Gavia immer	common_loon
196	Pacific Loon	Gavia pacifica	pacific_loon
197	Red-throated Loon	Gavia stellata	red_throated_loon
198	Sandhill Crane	Grus canadensis	sandhill_crane
199	Black Oystercatcher	Haematopus bachmani	black_oystercatcher
200	American Oystercatcher	Haematopus palliatus	american_oystercatcher
201	Barn Swallow	Hirundo rustica	barn_swallow
202	Cave Swallow	Petrochelidon fulva	cave_swallow
203	Cliff Swallow	Petrochelidon pyrrhonota	cliff_swallow
204	Purple Martin	Progne subis	purple_martin
205	Northern Rough-winged Swallow	Stelgidopteryx serripennis	northern_rough_winged_swallow
206	Tree Swallow	Tachycineta bicolor	tree_swallow
207	Violet-green Swallow	Tachycineta thalassina	violet_green_swallow
208	Red-winged Blackbird	Agelaius phoeniceus	red_winged_blackbird
209	Bobolink	Dolichonyx oryzivorus	bobolink
210	Rusty Blackbird	Euphagus carolinus	rusty_blackbird
211	Brewer's Blackbird	Euphagus cyanocephalus	brewers_blackbird
212	Bullock's Oriole	Icterus bullockii	bullocks_oriole
213	Hooded Oriole	Icterus cucullatus	hooded_oriole
214	Baltimore Oriole	Icterus galbula	baltimore_oriole
215	Audubon's Oriole	Icterus graduacauda	audubons_oriole
216	Altamira Oriole	Icterus gularis	altamira_oriole
217	Scott's Oriole	Icterus parisorum	scotts_oriole
218	Orchard Oriole	Icterus spurius	orchard_oriole
219	Bronzed Cowbird	Molothrus aeneus	bronzed_cowbird
220	Brown-headed Cowbird	Molothrus ater	brown_headed_cowbird
221	Boat-tailed Grackle	Quiscalus major	boat_tailed_grackle
222	Great-tailed Grackle	Quiscalus mexicanus	great_tailed_grackle
223	Common Grackle	Quiscalus quiscula	common_grackle
224	Eastern Meadowlark	Sturnella magna	eastern_meadowlark
225	Western Meadowlark	Sturnella neglecta	western_meadowlark
226	Yellow-headed Blackbird	Xanthocephalus xanthocephalus	yellow_headed_blackbird
227	Northern Shrike	Lanius excubitor	northern_shrike
228	Loggerhead Shrike	Lanius ludovicianus	loggerhead_shrike
229	Bonaparte's Gull	Chroicocephalus philadelphia	bonapartes_gull
230	Herring Gull	Larus argentatus	herring_gull
231	California Gull	Larus californicus	california_gull
232	Mew Gull	Larus canus	mew_gull
233	Ring-billed Gull	Larus delawarensis	ring_billed_gull
234	Glaucous-winged Gull	Larus glaucescens	glaucous_winged_gull
235	Iceland Gull	Larus glaucoides	iceland_gull
236	Heermann's Gull	Larus heermanni	heermanns_gull
237	Glaucous Gull	Larus hyperboreus	glaucous_gull
238	Great Black-backed Gull	Larus marinus	great_black_backed_gull
239	Western Gull	Larus occidentalis	western_gull
240	Thayer's Gull	Larus thayeri	thayers_gull
241	Laughing Gull	Leucophaeus atricilla	laughing_gull
242	Franklin's Gull	Leucophaeus pipixcan	franklins_gull
243	Black-legged Kittiwake	Rissa tridactyla	black_legged_kittiwake
244	Black Skimmer	Rynchops niger	black_skimmer
245	Black Tern	Chlidonias niger	black_tern
246	Gull-billed Tern	Gelochelidon nilotica	gull_billed_tern
247	Caspian Tern	Hydroprogne caspia	caspian_tern
248	Roseate Tern	Sterna dougallii	roseate_tern
249	Forster's Tern	Sterna forsteri	forsters_tern
250	Common Tern	Sterna hirundo	common_tern
251	Arctic Tern	Sterna paradisaea	arctic_tern
252	Least Tern	Sternula antillarum	least_tern
253	Royal Tern	Thalasseus maximus	royal_tern
254	Sandwich Tern	Thalasseus sandvicensis	sandwich_tern
255	Gray Catbird	Dumetella carolinensis	gray_catbird
256	Northern Mockingbird	Mimus polyglottos	northern_mockingbird
257	Sage Thrasher	Oreoscoptes montanus	sage_thrasher
258	Curve-billed Thrasher	Toxostoma curvirostre	curve_billed_thrasher
259	Long-billed Thrasher	Toxostoma longirostre	long_billed_thrasher
260	California Thrasher	Toxostoma redivivum	california_thrasher
261	Brown Thrasher	Toxostoma rufum	brown_thrasher
262	American Pipit	Anthus rubescens	american_pipit
263	California Quail	Callipepla californica	california_quail
264	Gambel's Quail	Callipepla gambelii	gambels_quail
265	Scaled Quail	Callipepla squamata	scaled_quail
266	Northern Bobwhite	Colinus virginianus	northern_bobwhite
267	Osprey	Pandion haliaetus	osprey
268	Black-crested Titmouse	Baeolophus atricristatus	black_crested_titmouse
269	Tufted Titmouse	Baeolophus bicolor	tufted_titmouse
270	Oak Titmouse	Baeolophus inornatus	oak_titmouse
271	Bridled Titmouse	Baeolophus wollweberi	bridled_titmouse
272	Black-capped Chickadee	Poecile atricapillus	black_capped_chickadee
273	Carolina Chickadee	Poecile carolinensis	carolina_chickadee
274	Mountain Chickadee	Poecile gambeli	mountain_chickadee
275	Boreal Chickadee	Poecile hudsonicus	boreal_chickadee
276	Chestnut-backed Chickadee	Poecile rufescens	chestnut_backed_chickadee
277	Canada Warbler	Cardellina canadensis	canada_warbler
278	Wilson's Warbler	Cardellina pusilla	wilsons_warbler
279	Mourning Warbler	Geothlypis philadelphia	mourning_warbler
280	Common Yellowthroat	Geothlypis trichas	common_yellowthroat
281	Worm-eating Warbler	Helmitheros vermivorum	worm_eating_warbler
282	Yellow-breasted Chat	Icteria virens	yellow_breasted_chat
283	Black-and-white Warbler	Mniotilta varia	black_and_white_warbler
284	Painted Redstart	Myioborus pictus	painted_redstart
285	Connecticut Warbler	Oporornis agilis	connecticut_warbler
286	Orange-crowned Warbler	Oreothlypis celata	orange_crowned_warbler
287	Tennessee Warbler	Oreothlypis peregrina	tennessee_warbler
288	Nashville Warbler	Oreothlypis ruficapilla	nashville_warbler
289	Louisiana Waterthrush	Parkesia motacilla	louisiana_waterthrush
290	Northern Waterthrush	Parkesia noveboracensis	northern_waterthrush
291	Prothonotary Warbler	Protonotaria citrea	prothonotary_warbler
292	Ovenbird	Seiurus aurocapilla	ovenbird
293	Northern Parula	Setophaga americana	northern_parula
294	Black-throated Blue Warbler	Setophaga caerulescens	black_throated_blue_warbler
295	Bay-breasted Warbler	Setophaga castanea	bay_breasted_warbler
296	Cerulean Warbler	Setophaga cerulea	cerulean_warbler
297	Hooded Warbler	Setophaga citrina	hooded_warbler
298	Yellow-rumped Warbler	Setophaga coronata	yellow_rumped_warbler
299	Prairie Warbler	Setophaga discolor	prairie_warbler
300	Yellow-throated Warbler	Setophaga dominica	yellow_throated_warbler
301	Blackburnian Warbler	Setophaga fusca	blackburnian_warbler
302	Magnolia Warbler	Setophaga magnolia	magnolia_warbler
303	Black-throated Gray Warbler	Setophaga nigrescens	black_throated_gray_warbler
304	Palm Warbler	Setophaga palmarum	palm_warbler
305	Chestnut-sided Warbler	Setophaga pensylvanica	chestnut_sided_warbler
306	Yellow Warbler	Setophaga petechia	yellow_warbler
307	Pine Warbler	Setophaga pinus	pine_warbler
308	American Redstart	Setophaga ruticilla	american_redstart
309	Blackpoll Warbler	Setophaga striata	blackpoll_warbler
310	Cape May Warbler	Setophaga tigrina	cape_may_warbler
311	Townsend's Warbler	Setophaga townsendi	townsends_warbler
312	Black-throated Green Warbler	Setophaga virens	black_throated_green_warbler
313	Golden-winged Warbler	Vermivora chrysoptera	golden_winged_warbler
314	Blue-winged Warbler	Vermivora cyanoptera	blue_winged_warbler
315	House Sparrow	Passer domesticus	house_sparrow
316	American White Pelican	Pelecanus erythrorhynchos	american_white_pelican
317	Brown Pelican	Pelecanus occidentalis	brown_pelican
318	Double-crested Cormorant	Phalacrocorax auritus	double_crested_cormorant
319	Neotropic Cormorant	Phalacrocorax brasilianus	neotropic_cormorant
320	Great Cormorant	Phalacrocorax carbo	great_cormorant
321	Brandt's Cormorant	Phalacrocorax penicillatus	brandts_cormorant
322	Wild Turkey	Meleagris gallopavo	wild_turkey
323	Ring-necked Pheasant	Phasianus colchicus	ring_necked_pheasant
324	Ruffed Grouse	Bonasa umbellus	ruffed_grouse
325	Greater Sage-Grouse	Centrocercus urophasianus	greater_sage_grouse
326	Sooty Grouse	Dendragapus fuliginosus	sooty_grouse
327	Dusky Grouse	Dendragapus obscurus	dusky_grouse
328	Spruce Grouse	Falcipennis canadensis	spruce_grouse
329	Willow Ptarmigan	Lagopus lagopus	willow_ptarmigan
330	White-tailed Ptarmigan	Lagopus leucura	white_tailed_ptarmigan
331	Rock Ptarmigan	Lagopus muta	rock_ptarmigan
332	Greater Prairie-Chicken	Tympanuchus cupido	greater_prairie_chicken
333	Sharp-tailed Grouse	Tympanuchus phasianellus	sharp_tailed_grouse
334	Northern Flicker	Colaptes auratus	northern_flicker
335	Pileated Woodpecker	Dryocopus pileatus	pileated_woodpecker
336	Golden-fronted Woodpecker	Melanerpes aurifrons	golden_fronted_woodpecker
337	Red-bellied Woodpecker	Melanerpes carolinus	red_bellied_woodpecker
338	Red-headed Woodpecker	Melanerpes erythrocephalus	red_headed_woodpecker
339	Acorn Woodpecker	Melanerpes formicivorus	acorn_woodpecker
340	Lewis's Woodpecker	Melanerpes lewis	lewiss_woodpecker
341	Gila Woodpecker	Melanerpes uropygialis	gila_woodpecker
342	White-headed Woodpecker	Picoides albolarvatus	white_headed_woodpecker
343	Black-backed Woodpecker	Picoides arcticus	black_backed_woodpecker
344	Red-cockaded Woodpecker	Picoides borealis	red_cockaded_woodpecker
345	American Three-toed Woodpecker	Picoides dorsalis	american_three_toed_woodpecker
346	Nuttall's Woodpecker	Picoides nuttallii	nuttalls_woodpecker
347	Downy Woodpecker	Picoides pubescens	downy_woodpecker
348	Ladder-backed Woodpecker	Picoides scalaris	ladder_backed_woodpecker
349	Hairy Woodpecker	Picoides villosus	hairy_woodpecker
350	Red-naped Sapsucker	Sphyrapicus nuchalis	red_naped_sapsucker
351	Red-breasted Sapsucker	Sphyrapicus ruber	red_breasted_sapsucker
352	Williamson's Sapsucker	Sphyrapicus thyroideus	williamsons_sapsucker
353	Yellow-bellied Sapsucker	Sphyrapicus varius	yellow_bellied_sapsucker
354	Clark's Grebe	Aechmophorus clarkii	clarks_grebe
355	Western Grebe	Aechmophorus occidentalis	western_grebe
356	Horned Grebe	Podiceps auritus	horned_grebe
357	Red-necked Grebe	Podiceps grisegena	red_necked_grebe
358	Eared Grebe	Podiceps nigricollis	eared_grebe
359	Pied-billed Grebe	Podilymbus podiceps	pied_billed_grebe
360	Least Grebe	Tachybaptus dominicus	least_grebe
361	Blue-gray Gnatcatcher	Polioptila caerulea	blue_gray_gnatcatcher
362	Monk Parakeet	Myiopsitta monachus	monk_parakeet
363	Phainopepla	Phainopepla nitens	phainopepla
364	American Coot	Fulica americana	american_coot
365	Common Gallinule	Gallinula galeata	common_gallinule
366	Purple Gallinule	Porphyrio martinicus	purple_gallinule
367	Sora	Porzana carolina	sora
368	King Rail	Rallus elegans	king_rail
369	Virginia Rail	Rallus limicola	virginia_rail
370	Clapper Rail	Rallus longirostris	clapper_rail
371	Black-necked Stilt	Himantopus mexicanus	black_necked_stilt
372	American Avocet	Recurvirostra americana	american_avocet
373	Ruby-crowned Kinglet	Regulus calendula	ruby_crowned_kinglet
374	Golden-crowned Kinglet	Regulus satrapa	golden_crowned_kinglet
375	Verdin	Auriparus flaviceps	verdin
376	Red Phalarope	Phalaropus fulicarius	red_phalarope
377	Red-necked Phalarope	Phalaropus lobatus	red_necked_phalarope
378	Wilson's Phalarope	Phalaropus tricolor	wilsons_phalarope
379	Spotted Sandpiper	Actitis macularius	spotted_sandpiper
380	Surfbird	Aphriza virgata	surfbird
381	Ruddy Turnstone	Arenaria interpres	ruddy_turnstone
382	Black Turnstone	Arenaria melanocephala	black_turnstone
383	Upland Sandpiper	Bartramia longicauda	upland_sandpiper
384	Sanderling	Calidris alba	sanderling
385	Dunlin	Calidris alpina	dunlin
386	Baird's Sandpiper	Calidris bairdii	bairds_sandpiper
387	Red Knot	Calidris canutus	red_knot
388	White-rumped Sandpiper	Calidris fuscicollis	white_rumped_sandpiper
389	Stilt Sandpiper	Calidris himantopus	stilt_sandpiper
390	Purple Sandpiper	Calidris maritima	purple_sandpiper
391	Western Sandpiper	Calidris mauri	western_sandpiper
392	Pectoral Sandpiper	Calidris melanotos	pectoral_sandpiper
393	Least Sandpiper	Calidris minutilla	least_sandpiper
394	Rock Sandpiper	Calidris ptilocnemis	rock_sandpiper
395	Semipalmated Sandpiper	Calidris pusilla	semipalmated_sandpiper
396	Wilson's Snipe	Gallinago delicata	wilsons_snipe
397	Short-billed Dowitcher	Limnodromus griseus	short_billed_dowitcher
398	Long-billed Dowitcher	Limnodromus scolopaceus	long_billed_dowitcher
399	Marbled Godwit	Limosa fedoa	marbled_godwit
400	Long-billed Curlew	Numenius americanus	long_billed_curlew
401	Whimbrel	Numenius phaeopus	whimbrel
402	American Woodcock	Scolopax minor	american_woodcock
403	Lesser Yellowlegs	Tringa flavipes	lesser_yellowlegs
404	Wandering Tattler	Tringa incana	wandering_tattler
405	Greater Yellowlegs	Tringa melanoleuca	greater_yellowlegs
406	Willet	Tringa semipalmata	willet
407	Solitary Sandpiper	Tringa solitaria	solitary_sandpiper
408	Red-breasted Nuthatch	Sitta canadensis	red_breasted_nuthatch
409	White-breasted Nuthatch	Sitta carolinensis	white_breasted_nuthatch
410	Brown-headed Nuthatch	Sitta pusilla	brown_headed_nuthatch
411	Pygmy Nuthatch	Sitta pygmaea	pygmy_nuthatch
412	Northern Saw-whet Owl	Aegolius acadicus	northern_saw_whet_owl
413	Short-eared Owl	Asio flammeus	short_eared_owl
414	Long-eared Owl	Asio otus	long_eared_owl
415	Burrowing Owl	Athene cunicularia	burrowing_owl
416	Snowy Owl	Bubo scandiacus	snowy_owl
417	Great Horned Owl	Bubo virginianus	great_horned_owl
418	Ferruginous Pygmy-Owl	Glaucidium brasilianum	ferruginous_pygmy_owl
419	Eastern Screech-Owl	Megascops asio	eastern_screech_owl
420	Western Screech-Owl	Megascops kennicottii	western_screech_owl
421	Elf Owl	Micrathene whitneyi	elf_owl
422	Great Gray Owl	Strix nebulosa	great_gray_owl
423	Spotted Owl	Strix occidentalis	spotted_owl
424	Barred Owl	Strix varia	barred_owl
425	Northern Hawk Owl	Surnia ulula	northern_hawk_owl
426	European Starling	Sturnus vulgaris	european_starling
427	Northern Gannet	Morus bassanus	northern_gannet
428	Wrentit	Chamaea fasciata	wrentit
429	White Ibis	Eudocimus albus	white_ibis
430	White-faced Ibis	Plegadis chihi	white_faced_ibis
431	Glossy Ibis	Plegadis falcinellus	glossy_ibis
432	Black-chinned Hummingbird	Archilochus alexandri	black_chinned_hummingbird
433	Ruby-throated Hummingbird	Archilochus colubris	ruby_throated_hummingbird
434	Anna's Hummingbird	Calypte anna	annas_hummingbird
435	Costa's Hummingbird	Calypte costae	costas_hummingbird
436	Broad-billed Hummingbird	Cynanthus latirostris	broad_billed_hummingbird
437	Calliope Hummingbird	Selasphorus calliope	calliope_hummingbird
438	Broad-tailed Hummingbird	Selasphorus platycercus	broad_tailed_hummingbird
439	Rufous Hummingbird	Selasphorus rufus	rufous_hummingbird
440	Allen's Hummingbird	Selasphorus sasin	allens_hummingbird
441	Cactus Wren	Campylorhynchus brunneicapillus	cactus_wren
442	Canyon Wren	Catherpes mexicanus	canyon_wren
443	Marsh Wren	Cistothorus palustris	marsh_wren
444	Sedge Wren	Cistothorus platensis	sedge_wren
445	Rock Wren	Salpinctes obsoletus	rock_wren
446	Bewick's Wren	Thryomanes bewickii	bewicks_wren
447	Carolina Wren	Thryothorus ludovicianus	carolina_wren
448	House Wren	Troglodytes aedon	house_wren
449	Winter Wren	Troglodytes hiemalis	winter_wren
450	Pacific Wren	Troglodytes pacificus	pacific_wren
451	Elegant Trogon	Trogon elegans	elegant_trogon
452	Veery	Catharus fuscescens	veery
453	Hermit Thrush	Catharus guttatus	hermit_thrush
454	Gray-cheeked Thrush	Catharus minimus	gray_cheeked_thrush
455	Swainson's Thrush	Catharus ustulatus	swainsons_thrush
456	Wood Thrush	Hylocichla mustelina	wood_thrush
457	Varied Thrush	Ixoreus naevius	varied_thrush
458	Townsend's Solitaire	Myadestes townsendi	townsends_solitaire
459	Mountain Bluebird	Sialia currucoides	mountain_bluebird
460	Western Bluebird	Sialia mexicana	western_bluebird
461	Eastern Bluebird	Sialia sialis	eastern_bluebird
462	American Robin	Turdus migratorius	american_robin
463	Olive-sided Flycatcher	Contopus cooperi	olive_sided_flycatcher
464	Western Wood-Pewee	Contopus sordidulus	western_wood_pewee
465	Eastern Wood-Pewee	Contopus virens	eastern_wood_pewee
466	Alder Flycatcher	Empidonax alnorum	alder_flycatcher
